epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_H_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_H_f_mae,training_O_f_mae,training_psavg_f_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_H_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_H_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_e/N_mae
        37, 9081.754,   0.0005,        0.0035151,       1.6481e-05,        0.0035316,       0.0419,       0.0499,        0.064,        0.057,       0.0378,         0.05,       0.0439,      0.00301,        0.0034717,       1.8283e-06,        0.0034735,       0.0411,       0.0493,       0.0642,       0.0567,        0.037,       0.0493,       0.0432,      0.00104
        38, 9332.158,   0.0005,        0.0034116,        1.075e-05,        0.0034224,       0.0412,       0.0491,       0.0633,       0.0562,       0.0371,       0.0494,       0.0433,      0.00233,        0.0034093,       1.7775e-06,         0.003411,       0.0407,       0.0488,       0.0637,       0.0562,       0.0367,       0.0489,       0.0428,      0.00103
        39, 9575.431,   0.0005,        0.0033887,       1.6645e-05,        0.0034053,       0.0411,        0.049,        0.063,        0.056,       0.0371,       0.0492,       0.0431,      0.00295,        0.0033577,       1.7999e-06,        0.0033595,       0.0404,       0.0484,       0.0632,       0.0558,       0.0364,       0.0485,       0.0424,      0.00104
        40, 9826.339,   0.0005,        0.0033512,       1.3506e-05,        0.0033647,        0.041,       0.0487,       0.0626,       0.0556,       0.0369,        0.049,        0.043,      0.00272,        0.0032998,       1.7095e-06,        0.0033015,       0.0401,        0.048,       0.0626,       0.0553,       0.0361,       0.0481,       0.0421,      0.00101
        41, 10071.790,   0.0005,        0.0033204,       1.4971e-05,        0.0033354,       0.0407,       0.0484,       0.0624,       0.0554,       0.0367,       0.0488,       0.0428,       0.0027,        0.0032495,       1.6903e-06,        0.0032512,       0.0398,       0.0476,       0.0622,       0.0549,       0.0358,       0.0479,       0.0418,     0.000998
        42, 10321.195,   0.0005,        0.0032125,       1.0661e-05,        0.0032231,       0.0401,       0.0475,       0.0615,       0.0545,        0.036,       0.0481,       0.0421,      0.00235,        0.0032064,       1.6868e-06,        0.0032081,       0.0395,       0.0472,       0.0619,       0.0545,       0.0355,       0.0476,       0.0415,        0.001
        43, 10567.092,   0.0005,         0.003183,       1.2816e-05,        0.0031958,       0.0398,       0.0474,       0.0611,       0.0543,       0.0359,       0.0478,       0.0418,      0.00256,        0.0031551,       1.5852e-06,        0.0031566,       0.0392,       0.0468,       0.0614,       0.0541,       0.0352,       0.0472,       0.0412,     0.000969
        44, 10816.425,   0.0005,        0.0031186,       1.4747e-05,        0.0031334,       0.0395,       0.0468,       0.0607,       0.0537,       0.0355,       0.0475,       0.0415,      0.00286,        0.0031131,       1.5949e-06,        0.0031147,        0.039,       0.0465,        0.061,       0.0538,        0.035,        0.047,        0.041,     0.000976
        45, 11066.440,   0.0005,        0.0030784,       8.3984e-06,        0.0030868,       0.0393,       0.0466,         0.06,       0.0533,       0.0354,        0.047,       0.0412,      0.00205,        0.0030729,       1.5419e-06,        0.0030745,       0.0387,       0.0462,       0.0606,       0.0534,       0.0348,       0.0466,       0.0407,     0.000959
        46, 11305.519,   0.0005,         0.003021,       1.0841e-05,        0.0030319,       0.0389,       0.0461,       0.0597,       0.0529,        0.035,       0.0468,       0.0409,      0.00238,        0.0030299,       1.6095e-06,        0.0030315,       0.0385,       0.0459,       0.0602,        0.053,       0.0345,       0.0463,       0.0404,     0.000976
        47, 11542.054,   0.0005,        0.0029566,       1.3133e-05,        0.0029697,       0.0385,       0.0455,       0.0591,       0.0523,       0.0346,       0.0463,       0.0405,       0.0027,        0.0029833,        1.522e-06,        0.0029849,       0.0382,       0.0455,       0.0598,       0.0526,       0.0342,        0.046,       0.0401,      0.00096
        48, 11777.184,   0.0005,        0.0029475,       1.1422e-05,        0.0029589,       0.0384,       0.0454,       0.0591,       0.0523,       0.0345,       0.0462,       0.0403,       0.0025,        0.0029444,       1.5302e-06,         0.002946,       0.0379,       0.0452,       0.0594,       0.0523,        0.034,       0.0457,       0.0399,     0.000957
        49, 12017.007,   0.0005,        0.0029275,       1.6683e-05,        0.0029441,       0.0383,       0.0453,       0.0588,       0.0521,       0.0344,       0.0462,       0.0403,        0.003,        0.0029036,       1.4915e-06,        0.0029051,       0.0376,       0.0448,       0.0591,       0.0519,       0.0337,       0.0455,       0.0396,     0.000952
        50, 12251.512,   0.0005,        0.0029242,       1.2121e-05,        0.0029364,       0.0383,       0.0454,       0.0586,        0.052,       0.0345,       0.0459,       0.0402,      0.00257,        0.0028705,       1.4585e-06,        0.0028719,       0.0374,       0.0445,       0.0587,       0.0516,       0.0335,       0.0452,       0.0394,     0.000927
        51, 12483.597,   0.0005,        0.0027969,       1.0491e-05,        0.0028073,       0.0374,       0.0442,       0.0576,       0.0509,       0.0336,        0.045,       0.0393,      0.00238,        0.0028295,       1.4253e-06,         0.002831,       0.0372,       0.0442,       0.0583,       0.0513,       0.0333,       0.0449,       0.0391,     0.000925
        52, 12719.008,   0.0005,        0.0028142,       7.9606e-06,        0.0028221,       0.0375,       0.0444,       0.0577,       0.0511,       0.0337,       0.0453,       0.0395,      0.00205,        0.0027964,       1.4439e-06,        0.0027979,        0.037,        0.044,        0.058,        0.051,       0.0331,       0.0446,       0.0389,     0.000931
        53, 12948.392,   0.0005,        0.0027831,       9.9576e-06,         0.002793,       0.0374,       0.0441,       0.0575,       0.0508,       0.0335,       0.0451,       0.0393,      0.00238,        0.0027637,       1.4355e-06,        0.0027652,       0.0368,       0.0437,       0.0577,       0.0507,       0.0329,       0.0445,       0.0387,     0.000919
        54, 13188.523,   0.0005,        0.0027214,       1.0135e-05,        0.0027315,        0.037,       0.0437,       0.0567,       0.0502,       0.0333,       0.0444,       0.0388,       0.0023,        0.0027367,       1.3606e-06,         0.002738,       0.0366,       0.0435,       0.0574,       0.0504,       0.0327,       0.0443,       0.0385,       0.0009
        55, 13425.310,   0.0005,        0.0026364,       7.2514e-06,        0.0026436,       0.0364,       0.0429,        0.056,       0.0494,       0.0327,       0.0439,       0.0383,      0.00202,        0.0026985,       1.3526e-06,        0.0026998,       0.0363,       0.0431,        0.057,       0.0501,       0.0325,        0.044,       0.0382,     0.000907
        56, 13662.261,   0.0005,        0.0026323,       1.0136e-05,        0.0026424,       0.0364,       0.0428,        0.056,       0.0494,       0.0326,       0.0439,       0.0383,      0.00236,        0.0026658,       1.3596e-06,        0.0026671,       0.0361,       0.0429,       0.0567,       0.0498,       0.0323,       0.0438,        0.038,     0.000905
        57, 13897.053,   0.0005,        0.0026245,       1.3038e-05,        0.0026375,       0.0363,       0.0428,       0.0559,       0.0493,       0.0325,       0.0438,       0.0382,       0.0026,        0.0026417,        1.337e-06,        0.0026431,       0.0359,       0.0426,       0.0565,       0.0496,       0.0321,       0.0436,       0.0378,     0.000901
        58, 14135.766,   0.0005,         0.002554,       6.7796e-06,        0.0025608,       0.0358,       0.0422,       0.0551,       0.0487,       0.0321,       0.0432,       0.0377,      0.00191,         0.002614,       1.3103e-06,        0.0026153,       0.0358,       0.0424,       0.0562,       0.0493,       0.0319,       0.0434,       0.0377,     0.000891
        59, 14367.964,   0.0005,        0.0025456,       8.4892e-06,         0.002554,       0.0358,       0.0421,       0.0551,       0.0486,       0.0321,       0.0432,       0.0377,      0.00219,        0.0025796,       1.3641e-06,        0.0025809,       0.0355,       0.0421,       0.0559,        0.049,       0.0317,       0.0432,       0.0374,      0.00089
        60, 14607.170,   0.0005,        0.0025259,       8.9898e-06,        0.0025348,       0.0356,       0.0419,       0.0549,       0.0484,       0.0319,        0.043,       0.0375,      0.00212,        0.0025614,       1.3017e-06,        0.0025627,       0.0354,       0.0419,       0.0557,       0.0488,       0.0316,        0.043,       0.0373,     0.000883
